Pregunta,Respuesta_1,Respuesta_2,Respuesta_3,Respuesta_4,Respuesta_5,Respuesta_6
Algo que necesita una mascota,Comida,Agua,Cama,Juguetes,Vacunas,Paseos
Un animal de granja,Vaca,Pollo,Cerdo,Caballo,Oveja,Chivo
Un animal salvaje,León,Tigre,Elefante,Jirafa,Oso,Mono
Un animal de la selva,Jaguar,Mono,Tucán,Serpiente,Tapir,Pantera
Un animal del desierto,Camello,Coyote,Serpiente,Escorpión,Lagartija,Ardilla
Un animal que vuela,Águila,Paloma,Mariposa,Abeja,Murciélago,Colibrí
Un animal que se arrastra,Serpiente,Tortuga,Cocodrilo,Lagartija,Gusano,Iguana
Un insecto común,Mosca,Mosquito,Hormiga,Abeja,Mariposa,Cucaracha
Algo que encuentras en un jardín,Plantas,Flores,Árboles,Macetas,Insectos,Fuente
Una planta de casa,Cactus,Sábila,Helecho,Orquídea,Monstera,Tronco de Brasil
Algo que necesita una planta,Agua,Sol,Tierra,Abono,Maceta,Cuidado
Una flor de color rojo,Rosa,Clavel,Amapola,Tulipán,Girasol,Geranio
Un árbol conocido,Pino,Encino,Ahuehuete,Palmera,Jacaranda,Manzano
Algo que se recicla,Papel,Cartón,Plástico,Vidrio,Latas,Electrónicos
Algo que contamina,Basura,Humo,Plástico,Aguas sucias,Ruido,Químicos
Una forma de cuidar el ambiente,Reciclar,Ahorrar agua,Plantar árboles,Usar bicicleta,Reutilizar,Separar basura
Algo que ahorra energía,Apagar luces,Usar focos LED,Desconectar aparatos,Usar luz natural,Reducir aire acondicionado,Cerrar puertas
Algo que apagas antes de salir,Luces,Estufa,Televisión,Plancha,Computadora,El ventilador
Algo que desconectas,Cargador,Televisión,Computadora,Licuadora,Plancha,Microondas
Una fuente de energía,Sol,Viento,Agua,Gas,Electricidad,Combustible
Algo que funciona con baterías,Control remoto,Linterna,Reloj,Juguete,Cámara,Radio
Un aparato electrónico,Teléfono,Computadora,Televisión,Tableta,Cámara,Consola
Una forma de comunicarse,Llamada,Mensaje,Correo,Videochat,Carta,Señales
Algo que mandas por correo,Documentos,Fotos,Ofertas,Invitaciones,Noticias,Facturas
Un documento importante,INE,Pasaporte,Acta de nacimiento,Licencia,Contrato,Certificado
Algo que haces en el banco,Depositar,Retirar,Pagar,Transferir,Consultar,Formarte
Un servicio que pagas,Luz,Agua,Internet,Teléfono,Renta,Gas
Algo que recibes en casa,Paquetes,Cartas,Recibos,Comida,Periódico,Visitas
Algo que ahorras,Dinero,Agua,Tiempo,Comida,Electricidad,Espacio
Una razón para ahorrar,Emergencia,Viaje,Casa,Estudios,Retiro,Comprar algo
Algo que cuesta mucho,Una casa,Un auto,La renta,La universidad,Un viaje,Un teléfono
Una necesidad básica,Comida,Agua,Vivienda,Salud,Ropa,Educación
Algo que haces para ganar dinero,Trabajar,Vender,Invertir,Ahorrar,Crear,Repartir
Un lugar donde trabajas,Oficina,Tienda,Casa,Fábrica,Escuela,Hospital
Algo que llevas al trabajo,Comida,Credencial,Computadora,Agenda,Uniforme,Café
Una razón para pedir vacaciones,Descansar,Viajar,Enfermedad,Familia,Trámites,Agotamiento
Algo que haces en el descanso,Comer,Platicar,Caminar,Tomar café,Revisar el celular,Dormir
Algo que puede causar un accidente,Velocidad,Descuido,Alcohol,Objetos tirados,Lluvia,Falla mecánica
Un objeto de seguridad,Casco,Cinturón,Guantes,Chaleco,Extintor,Señal
Algo que hay en un botiquín,Curitas,Alcohol,Gasa,Termómetro,Analgésico,Guantes
Una emergencia común,Caída,Incendio,Choque,Enfermedad,Fuga de gas,Inundación
Un número de emergencia,911,065,066,089,Local,Protección civil
Algo que haces si te pierdes,Preguntar,Usar mapas,Llamar,Buscar señales,Regresar,Esperar
Algo que indica una dirección,Calle,Número,Colonia,Código postal,Referencia,Mapa
Un lugar donde preguntas una dirección,Policía,Comercio,Vecino,Recepción,Taxista,Transeúnte
Algo que lees en la calle,Señales,Anuncios,Carteles,Menús,Horarios,Mapas
Un tipo de anuncio,Espectacular,Volante,Cartel,Radio,Internet,Televisión
Algo que se anuncia mucho,Comida,Ropa,Autos,Casas,Medicinas,Eventos
Algo que lees antes de dormir,Libro,Mensaje,Noticias,Revista,Receta,Agenda
Un género de libro,Novela,Historia,Ciencia,Romance,Terror,Recetas
Algo que puede ser de bolsillo,Monedero,Peine,Linterna,Libro,Agenda,Teléfono
Algo que cabe en una mochila,Cuaderno,Libro,Comida,Computadora,Suéter,Paraguas
Algo que llevas en la bolsa,Monedero,Maquillaje,Teléfono,Llaves,Pañuelos,Espejo
Algo que hay en una cartera,Identificación,Dinero,Tarjetas,Fotos,Recibos,Monedas
Algo que usas para peinarte,Cepillo,Peine,Gel,Secadora,Plancha,Pasadores
Algo que usas para bañarte,Jabón,Champú,Esponja,Agua,Toalla,Estropajo
Algo que usas para afeitarte,Rastrillo,Crema,Espuma,Espejo,Agua,Toalla
Algo de higiene personal,Desodorante,Jabón,Pasta dental,Champú,Perfume,Toallas sanitarias
Un pasillo del supermercado,Frutas,Lácteos,Carnes,Limpieza,Panadería,Enlatados
Algo que ves en un carrito de compras,Leche,Pan,Frutas,Verduras,Detergente,Refrescos
Una razón para hacer una lista,No olvidar,Ahorrar,Organizarse,Comparar,Planear,Evitar compras extra
Algo que se acaba en casa,Leche,Papel higiénico,Agua,Pan,Gas,Jabón
Algo que compras de emergencia,Medicinas,Comida,Velas,Agua,Pañales,Paraguas
Algo que haces cuando se va la luz,Prender velas,Usar linterna,Esperar,Revisar fusibles,Llamar,Salir
Algo que funciona con gas,Estufa,Calentador,Boiler,Asador,Secadora,Calefacción
Algo que revisas antes de cocinar,Gas,Ingredientes,Fecha,Receta,Estufa,Utensilios
Un olor agradable,Café,Pan recién hecho,Perfume,Flores,Comida,Pastel
Un olor desagradable,Basura,Humo,Comida echada a perder,Drenaje,Gas,Humedad
Algo que hace olor en la cocina,Ajo,Cebolla,Café,Pan,Canela,Comida frita
Algo que escuchas en la mañana,Alarma,Pájaros,Tráfico,Radio,Vecinos,La licuadora
Un ruido molesto,Tráfico,Construcción,Ladridos,Música,Claxon,Vecinos
Algo que preparas en una licuadora,Salsa,Jugo,Licuado,Crema,Aderezo,Atole
Un aparato de cocina,Refrigerador,Licuadora,Microondas,Cafetera,Tostador,Freidora
Algo que calientas en microondas,Comida,Leche,Palomitas,Agua,Sopa,Tortillas
Algo que se guarda en un frasco,Mermelada,Mayonesa,Azúcar,Arroz,Especias,Galletas
Algo que se guarda en una bolsa,Papas,Pan,Fruta,Ropa,Basura,Arroz
Algo que se mide,Tiempo,Distancia,Peso,Temperatura,Volumen,Velocidad
Un instrumento para medir,Regla,Báscula,Termómetro,Reloj,Metro,Probeta
Algo que tiene números,Reloj,Teléfono,Calendario,Calculadora,Regla,Elevador
Algo que tiene manecillas,Reloj,Brújula,Medidor,Bomba de aire,Grúa,Ventilador
Algo que tiene ruedas,Bicicleta,Auto,Carrito,Patineta,Maleta,Carriola
Algo que tiene una puerta,Casa,Auto,Refrigerador,Elevador,Armario,Escuela
Algo que tiene ventanas,Casa,Auto,Avión,Escuela,Autobús,Edificio
Algo que tiene techo,Casa,Auto,Escuela,Estación,Parada,Edificio
Algo que tiene espejo,Baño,Auto,Armario,Elevador,Teléfono,Cámara
Algo que refleja la luz,Espejo,Agua,Metal,Vidrio,Nieve,Una ventana
Algo transparente,Vidrio,Agua,Plástico,Aire,Una ventana,Hielo
Algo pesado,Refrigerador,Mueble,Piedra,Auto,Maleta,Costal
Algo ligero,Pluma,Papel,Globo,Plástico,Pluma de ave,Algodón
Algo redondo,Pelota,Reloj,Moneda,Naranja,Plato,Globo
Algo cuadrado,Ventana,Azulejo,Caja,Almohada,Mesa,Cuaderno
Algo que es suave,Almohada,Algodón,Peluche,Cobija,Pan,Esponja
Algo que es duro,Piedra,Metal,Madera,Plástico,Hueso,Ladrillo
Algo que se moja con facilidad,Papel,Ropa,Toalla,Cartón,Tierra,Esponja
Algo que se seca al sol,Ropa,Toallas,Trastes,Plantas,Pintura,Calzado
Algo que tiendes,Ropa,Cama,Toallas,Red,Una trampa,La mesa
Algo que doblas,Ropa,Papel,Toallas,Cobijas,Servilletas,Una esquina
Algo que cortas,Cabello,Papel,Comida,Uñas,Pastel,Árboles
Algo que pegas,Papel,Carteles,Estampas,Azulejos,Una etiqueta,Una herida
Algo que abres,Puerta,Ventana,Regalo,Frasco,Correo,Paraguas
Algo que cierras,Puerta,Llave,Libro,Paraguas,Una cuenta,Cortina
Algo que empujas,Puerta,Carrito,Coche,Cajón,Columpio,Una silla
Algo que jalas,Cajón,Cuerda,Puerta,Maleta,Persiana,Carrito
Algo que compartes,Comida,Internet,Noticias,Una habitación,Un secreto,Una cuenta
Algo que regalas,Flores,Chocolate,Ropa,Juguetes,Dinero,Libros
Algo que envuelves,Regalos,Comida,Maletas,Libros,Pan,Paquetes
Algo que mandas por paquetería,Ropa,Documentos,Regalos,Libros,Electrónicos,Comida
Algo que recibes por paquetería,Compras,Regalos,Documentos,Ropa,Comida,Medicinas
Algo que firmas,Contrato,Recibo,Documento,Lista,Boleta,Autorización
Algo que llenas,Formulario,Encuesta,Depósito,Agenda,Globo,Una botella
Algo que vacías,Una botella,La basura,Una alberca,Un cajón,Una cuenta,Un vaso
Algo que ordenas,Ropa,Libros,La casa,Comida,Documentos,Horarios
Algo que desordenas,La cama,El cuarto,Los juguetes,Los papeles,La ropa,La cocina
Algo que reparas,Una puerta,Un auto,Una llave,Un aparato,La ropa,Una bicicleta
Algo que arregla un técnico,Televisión,Computadora,Refrigerador,Estufa,Teléfono,Lavadora
Un electrodoméstico,Refrigerador,Lavadora,Estufa,Plancha,Aspiradora,Microondas
Algo que lavas,Platos,Ropa,Auto,Manos,Frutas,El cabello
Algo que secas,Platos,Ropa,Cabello,Manos,El piso,Los trastes
Algo que planchas,Ropa,Camisas,Pantalones,Manteles,Cortinas,Uniformes
Algo que se puede coser,Un botón,Una camisa,Un pantalón,Una cortina,Un disfraz,Una bolsa
Algo que tiene agujetas,Zapatos,Tennis,Tenis de fútbol,Una bolsa,Una sudadera,Un corsé
Algo que tiene cierre,Chamarra,Pantalón,Bolsa,Maleta,Carpa,Estuche
Algo que tiene botones,Camisa,Control,Elevador,Calculadora,Teléfono,Microondas
Algo que tiene bolsillos,Pantalón,Chamarra,Mochila,Delantal,Maleta,Chaleco
Algo que usas en la cabeza,Gorra,Sombrero,Gorro,Casco,Diadema,Audífonos
Algo que usas en las manos,Guantes,Anillos,Reloj,Crema,Manoplas,Pulseras
Algo que usas en los ojos,Lentes,Gotas,Antifaz,Maquillaje,Visera,Protector
Algo que usas en las orejas,Aretes,Audífonos,Tapones,Calentadores,Diadema,Un teléfono
Algo que usas en el cuello,Collar,Bufanda,Corbata,Medalla,Choker,Una camisa
Algo que usas en la espalda,Mochila,Chamarra,Protector,Masaje,Una venda,Una cobija
Algo que llevas en una fiesta,Regalo,Ropa elegante,Comida,Bebida,Invitación,Cámara
Algo que llevas a una cita,Flores,Perfume,Dinero,Regalo,Teléfono,Conversación
Un lugar para una cita,Café,Restaurante,Cine,Parque,Plaza,Museo
Algo que haces en una cita,Platicar,Comer,Caminar,Ver una película,Bailar,Tomar café
Una cualidad de una pareja,Amor,Respeto,Confianza,Humor,Paciencia,Lealtad
Algo que celebras con tu pareja,Aniversario,Cumpleaños,San Valentín,Navidad,Un logro,Un viaje
Un regalo romántico,Flores,Chocolates,Perfume,Joyas,Carta,Cena
Algo que escribes en una carta,Saludos,Noticias,Recuerdos,Sentimientos,Invitación,Felicitaciones
Algo que te recuerda a tu infancia,Juguetes,La escuela,La familia,Una canción,Un olor,Una caricatura
Algo que heredaste,Reloj,Joyas,Muebles,Recetas,Tradiciones,Una casa
Una tradición familiar,Comer juntos,Reunirse en fiestas,Recetas,Viajar,Tomar fotos,Contar historias
Algo que se transmite en una familia,Apellidos,Costumbres,Recetas,Valores,Historias,Tradiciones
Algo que haces con tus abuelos,Platicar,Visitar,Comer,Escuchar historias,Ayudar,Tomar fotos
Algo que haces con tus hijos,Jugar,Enseñar,Leer,Comer,Abrazar,Salir
Un lugar familiar,Parque,Casa,Plaza,Restaurante,Cine,Playa
Algo que hace una familia unida,Hablarse,Ayudarse,Comer juntos,Respetarse,Celebrar,Escucharse
Una actividad de domingo,Descansar,Comer en familia,Ir a misa,Visitar,Ver fútbol,Salir al parque
Algo que haces en sábado,Limpiar,Comprar,Descansar,Salir,Trabajar,Visitar amigos
Algo que haces entre semana,Trabajar,Estudiar,Cocinar,Limpiar,Transportarte,Descansar
Un día de la semana popular,Lunes,Viernes,Sábado,Domingo,Miércoles,Martes
Algo que marca el calendario,Cumpleaños,Festivos,Citas,Vacaciones,Exámenes,Aniversarios
Un mes de vacaciones,Julio,Diciembre,Agosto,Abril,Junio,Enero
Una actividad nocturna,Ver estrellas,Salir a cenar,Dormir,Ver películas,Ir a una fiesta,Leer
Algo que haces para aprovechar el tiempo,Leer,Estudiar,Ordenar,Ejercitarte,Trabajar,Aprender
Una actividad que requiere paciencia,Esperar,Pescar,Cocinar,Estudiar,Coser,Armar un rompecabezas
Algo que se hace rápido,Comer,Caminar,Leer,Limpiar,Contestar,Desayunar
Algo que tarda mucho,Un viaje,Una fila,Una obra,Una comida,Una mudanza,Un trámite
Un trámite común,Sacar identificación,Pagar impuestos,Renovar licencia,Registrar nacimiento,Pedir pasaporte,Abrir una cuenta
Algo que llevas a una oficina pública,Identificación,Documentos,Copias,Comprobante,Cita,Pluma
Algo que sacas en una oficina,Acta,Licencia,Pasaporte,Permiso,Certificado,Credencial
Algo que se vence,Pasaporte,Licencia,Credencial,Seguro,Contrato,Medicamento
Algo que necesitas renovar,Licencia,Pasaporte,Seguro,Credencial,Contrato,Suscripción
Algo que proteges con un seguro,Auto,Casa,Salud,Vida,Viajes,Teléfono
Algo que haces para prevenir,Ahorrar,Revisar,Vacunarte,Limpiar,Planear,Usar cinturón
